Zona,Precios,Direcciones,Dimensiones
Centro,"17,490,000",Monte Casino 115,285 m² tot.5 rec.3 baños5 estac.
Centro,"22,500,000",colorines jardines de pedregal,352 m² tot.4 rec.4 baños4 estac.
Centro,"14,000,000",Colorines,181 m² tot.6 rec.4 baños1 estac.
Centro,"71,781,000",MESETA,756 m² tot.6 rec.6 baños4 estac.
Centro,"47,000,000",Atizapán,1907 m² tot.4 rec.3 baños4 estac.
Centro,"61,000,000",Lomas de Virreyes,2000 m² tot.3 rec.3 baños20 estac.
Centro,"8,999,999",Zamora,225 m² tot.4 rec.2 baños2 estac.
Centro,"75,000,000",Izamal Lote 2 Mz. 26,778 m² tot.4 rec.3 baños4 estac.
Centro,"22,650,000","Av Paseo del Río, Chimalistac, Álvaro Obregón",144 m² tot.4 rec.4 baños2 estac.
Centro,"5,800,000",Sierra Amatepec,240 m² tot.6 rec.3 baños4 estac.
Centro,"19,950,000",Cerro de Maquiltepec 240,343 m² tot.3 rec.4 baños3 estac.
Centro,"26,000,000",Bosque de SAUCES,525 m² tot.3 rec.3 baños5 estac.
Centro,"7,000,000",Cuesta,186 m² tot.3 rec.2 baños2 estac.
Centro,"48,000,000",TRINIDAD,750 m² tot.4 rec.4 baños6 estac.
Centro,"20,647,000",AV. DE LAS FUENTES,420 m² tot.3 rec.3 baños6 estac.
Centro,"18,000,000",Callejon del Prado 43,312 m² tot.4 rec.4 baños4 estac.
Centro,"24,990,000",Nabor Carrillo,781 m² tot.6 rec.5 baños8 estac.
Centro,"12,138,525",Monte Antuco,280 m² tot.3 rec.3 baños3 estac.
Centro,"16,900,000",Tultitlan S/N,2024 m² tot.3 rec.3 baños3 estac.
Centro,"29,956,000",Margaritas,525 m² tot.3 rec.3 baños2 estac.
Centro,"7,899,000",Bosques de Jacarandas 411,179 m² tot.4 rec.3 baños2 estac.
Centro,"10,900,000",LAVA,228 m² tot.6 rec.3 baños2 estac.
Centro,"17,800,000",Tlalpuente S/N,598 m² tot.3 rec.4 baños4 estac.
Centro,"23,800,000","Coban, #S/N",820 m² tot.4 rec.4 baños7 estac.
Centro,"21,900,000",Berlin,3500 m² tot.3 rec.5 baños12 estac.
Centro,"8,990,000",ROCAS,156 m² tot.3 rec.2 baños1 estac.
Centro,"28,000,000",UVAS,480 m² tot.4 rec.6 baños6 estac.
Centro,"120,000,000",Desierto de los leones 5512 casi esquina Av. Toluca,1448 m² tot.4 rec.4 baños12 estac.
Centro,"13,000,000",Etna 50,220 m² tot.4 rec.2 baños2 estac.
Centro,"8,000,000",Xochicalco S/N,200 m² tot.3 rec.2 baños2 estac.
Centro,"23,600,000",Paseo de la Reforma,785 m² tot.4 rec.6 baños6 estac.
Centro,"13,000,000",Minerva,200 m² tot.6 rec.3 baños4 estac.
Centro,"39,950,000",SAN Jeronimo Lidice,739 m² tot.3 rec.3 baños6 estac.
Centro,"14,950,000",AFLUENTE,200 m² tot.3 rec.2 baños2 estac.
Centro,"7,800,000",Jojutla 16,209 m² tot.3 rec.2 baños2 estac.
Centro,"14,800,000",FUEGO,454 m² tot.3 rec.3 baños6 estac.
Centro,"13,800,000",arteaga y salazar,293 m² tot.3 rec.3 baños3 estac.
Centro,"54,900,000",Corina 134,736 m² tot.5 rec.5 baños15 estac.
Centro,"21,700,000",C. Gitana 274,703 m² tot.3 rec.3 baños4 estac.
Centro,"27,900,000",Callejon de la cruz 18,674 m² tot.4 rec.6 baños6 estac.
Centro,"4,500,000",RAUDAL,250 m² tot.3 rec.2 baños2 estac.
Centro,"9,300,000",Fuente del Cesped,234 m² tot.3 rec.3 baños2 estac.
Centro,"14,900,000",LERDO,376 m² tot.3 rec.3 baños3 estac.
Centro,"12,990,000",Montaña,238 m² tot.3 rec.2 baños4 estac.
Centro,"12,100,000",FUENTE DE CANTOS,761 m² tot.5 rec.5 baños6 estac.
Centro,"34,950,000",Cerrada Salvador Novo,783 m² tot.4 rec.4 baños4 estac.
Centro,"16,800,000",Bosque de Enebros,350 m² tot.6 rec.5 baños3 estac.
Centro,"34,725,000",Miguel Angel de Quevedo,727 m² tot.4 rec.3 baños6 estac.
Centro,"21,000,000",Camino a Santa Teresa 480 Vía Encinos,600 m² tot.3 rec.3 baños2 estac.
Centro,"10,000,000",Hera,129 m² tot.3 rec.3 baños1 estac.
Centro,"38,900,000",Avenida Patriotismo,967 m² tot.5 rec.5 baños8 estac.
Centro,"32,000,000",Residencial Lomas de San Ángel,423 m² tot.3 rec.3 baños4 estac.
Centro,"19,690,000",PASEO DE LA REFORMA,160 m² tot.4 rec.3 baños
Centro,"19,200,000","Puebla 118, Casa  12",500 m² tot.4 rec.4 baños7 estac.
Centro,"59,900,000",Llanura,1200 m² tot.3 rec.3 baños8 estac.
Centro,"4,780,000",SAN BUENAVENTURA,134 m² tot.3 rec.2 baños2 estac.
Centro,"14,690,000",Porfirio Díaz 180,360 m² tot.3 rec.3 baños4 estac.
Centro,"13,300,000",Av. de las Flores,340 m² tot.3 rec.3 baños2 estac.
Centro,"17,500,000",Minerva,312 m² tot.4 rec.4 baños4 estac.
Centro,"22,500,000",Circuito SAN Francisco 11,417 m² tot.3 rec.3 baños3 estac.
Centro,"14,000,000",DESIERTO DE LOS LEONES 5049,503 m² tot.5 rec.5 baños5 estac.
Centro,"58,000,000",Bosque de manzanos,3800 m² tot.4 rec.8 baños10 estac.
Centro,"12,900,000",Fuente del Tesoro,143 m² tot.3 rec.4 baños4 estac.
